year_,filed crimes,murder,injure,rob,rape,trafficking,steal,scam,smuggle,counterfeit money,others
1995,1621003,27356,72259,164478,41823,10670,1132789,64047,1119,5237,101225
1996,1600716,25411,68992,151147,42820,8290,1043982,69688,1147,5128,184111
1997,1613629,26070,69071,141514,40699,6425,1058110,78284,1133,5422,186901
1998,1986068,27670,80862,175116,40967,6513,1296988,83080,2301,6654,265917
1999,2249319,27426,92772,198607,39435,7257,1447390,93192,1205,10047,331988
2000,3637307,28429,120778,309818,35819,23163,2373696,152614,1993,15863,575134
2001,4457579,27501,138100,352216,40600,7008,2924512,190854,1784,5780,769224
2002,4337036,26276,141825,354926,38209,5684,2861727,191188,1149,5238,710814
2003,4393893,24393,145485,340077,40088,3721,2940598,193665,1178,3151,701537
2004,4718122,24711,148623,341908,36175,3343,3212822,205844,955,2315,741426
2005,4648401,20770,155056,332196,33710,2884,3158763,203083,925,1858,739156
2006,4744136,17973,162458,315682,32553,2565,3216293,218726,974,1814,775098
2007,4807517,16119,167207,292549,31883,2378,3268670,239698,1107,1755,786151
2008,4884960,14811,160429,276372,30248,2566,3399600,273763,1042,1345,724784
2009,5579915,14667,172840,283243,33286,6513,3888579,381432,1200,4758,793397
2010,5969892,13410,174990,237258,33696,10082,4228369,457350,1105,1565,812067
2011,6004951,12015,165097,202623,33336,13964,4259484,484813,1350,688,831581
2012,6551440,11286,163620,180159,33835,18532,4284670,555823,1575,2194,1299746
2013,6598247,10640,161910,146193,34102,20735,4506414,676771,1853,768,1038861
2014,6539692,10083,140709,111187,33417,16483,4435984,785306,2083,899,1003541
2015,7174037,9200,132242,86747,29948,9150,4875561,1049841,2199,992,978157
2016,6427533,8634,123818,61428,27767,7121,4304321,979956,2407,1163,910918
2017,5482570,7990,111124,39230,27664,6668,3459742,927583,3277,1467,897825
2018,5069242,7525,97391,25413,29807,5397,2786804,1156351,3856,1216,955482
2019,4862443,7379,85226,17106,33827,4571,2258236,1433831,4866,994,1016407
2020,4780624,7157,79662,11303,33579,3035,1658609,1915429,4655,750,1066445
