name,rgba,rgb,value,SRGB,HSB,AdobeRGB,AppleRGB,EciRGB,SRGBLinear,AdobeRGBLinear,AppleRGBLinear,CalculatedCMYK,EciCMYK,AdobeCMYK,XYZ,CieLab,Lchab,CieLuv,Lchuv,PaletteIndex
大红,0XFF0000FF,"#FF0000",-65536,255 0 0 100%,0 100% 100%,219 0 0,245 0 0,217 32 35,255 0 0,182 0 0,238 0 0,0 100 100 0,0 91 94 0,0 98 99 0,0.436075 0.222505 0.013932,54.29 80.81 69.89,54.29 106.84 40.85,54.29 175.04 25.96,54.29 176.96 8.44,1.0
橙红,0XE53D00FF,"#E53D00",-1753856,229 61 0 100%,16 100% 90%,198 63 15,215 37 0,199 75 32,200 12 0,146 12 0,187 8 0,0 73 100 10,2 81 99 0,5 87 100 1,0.35965 0.207794 0.015448,52.71 63.77 65.36,52.71 91.31 45.71,52.71 136.49 29.31,52.71 139.6 12.12,4.5
橙色,0XFF8000FF,"#FF8000",-32768,255 128 0 100%,30 100% 100%,227 127 30,248 105 0,225 142 46,255 55 0,198 55 2,242 51 0,0 50 100 0,0 52 95 0,0 55 99 0,0.519195 0.37725 0.034893,67.82 45.49 74.84,67.82 87.58 58.7,67.82 107.03 46.15,67.82 116.55 23.33,6.0
中黄,0XFFB200FF,"#FFB200",-19968,255 178 0 100%,42 100% 100%,236 177 41,250 162 0,234 189 54,255 114 0,215 114 5,247 112 0,0 30 100 0,2 23 94 0,2 30 96 0,0.607506 0.54166 0.057163,78.56 21.06 80.89,78.56 83.59 75.41,78.56 65.11 60.7,78.56 89.02 42.99,7.0
柠檬黄,0XFFFF00FF,"#FFFF00",-256,255 255 0 100%,60 100% 100%,255 255 60,255 255 0,252 255 71,255 255 0,255 255 11,255 255 0,0 0 100 0,1 1 91 0,10 0 80 0,0.82114 0.939383 0.111037,97.61 -15.75 93.39,97.61 94.71 99.57,97.61 7.98 84.38,97.61 84.76 84.6,9.0
黄绿,0XBBE000FF,"#BBE000",-4464640,187 224 0 100%,70 100% 88%,197 223 52,178 220 0,202 230 57,127 190 0,145 190 8,133 195 0,17 0 100 12,34 0 96 0,34 0 91 0,0.503729 0.644934 0.079305,84.22 -29.3 81.19,84.22 86.31 109.84,84.22 -17.2 75.77,84.22 77.7 102.79,10.0
中绿,0X008000FF,"#008000",-16744448,0 128 0 100%,120 100% 50%,72 127 30,26 111 0,79 138 18,0 55 0,16 55 2,4 57 0,100 0 100 50,81 20 100 0,87 18 100 7,0.08312 0.154746 0.020961,46.28 -47.56 48.58,46.28 67.99 134.39,46.28 -44.76 45.97,46.28 64.16 134.23,13.0
粉绿,0X00BF8FFF,"#00BF8F",-16728177,0 191 143 100%,165 100% 75%,107 190 144,41 181 122,122 198 152,0 133 70,38 133 73,10 137 68,100 0 25 25,84 1 67 0,72 0 53 0,0.239918 0.390141 0.246758,68.76 -50.87 12.4,68.76 52.36 166.3,68.76 -61.41 23.11,68.76 65.61 159.38,15.0
湖蓝,0X0080FFFF,"#0080FF",-16744193,0 128 255 100%,210 100% 100%,72 127 251,15 107 255,96 127 250,0 55 255,16 55 247,1 53 255,100 50 0 0,90 39 0 0,86 52 0 0,0.226201 0.215363 0.735134,53.53 8.67 -72.56,53.53 73.07 276.81,53.53 -34.35 -101.43,53.53 107.09 251.29,17.0
中蓝,0X0C00BFFF,"#0C00BF",-15990593,12 0 191 100%,244 100% 75%,17 0 186,0 0 181,39 0 193,1 0 133,1 0 127,0 0 137,94 100 0 25,99 81 3 0,100 82 23 1,0.076147 0.032399 0.372132,20.98 55.12 -89.61,20.98 105.21 301.6,20.98 -7.55 -85.74,20.98 86.07 264.96,19.0
紫色,0X800080FF,"#800080",-8388480,128 0 128 100%,300 100% 50%,109 0 125,104 0 111,116 0 134,55 0 55,39 0 53,51 0 57,0 100 0 50,58 100 36 0,71 100 15 6,0.125017 0.061115 0.157169,29.69 56.12 -36.29,29.69 66.83 327.11,29.69 46.82 -48.09,29.69 67.12 314.23,21.0
玫瑰红,0XBF0039FF,"#BF0039",-4259783,191 0 57 100%,342 100% 75%,163 0 58,171 0 44,167 14 66,133 0 10,95 0 10,124 0 11,0 100 70 25,19 98 72 0,17 100 71 8,0.233047 0.118404 0.036479,40.96 65.93 27.49,40.96 71.43 22.64,40.96 122.93 7.95,40.96 123.19 3.7,23.0
