"年","受案数","贪污贿赂","贪污","贿赂","挪用公款","集体私分","巨额财产来源不明","其他贪污贿赂","渎职","滥用职权","玩忽职守","徇私舞弊","其他渎职"
1998,108828,89544,46219,23046,14977,476,262,4564,19284,1752,3387,6571,7574
1999,103356,83555,44383,20299,15895,747,294,1937,19801,2600,3975,6314,6912
2000,104427,83461,44874,20771,14958,901,281,1676,20966,3808,4497,6593,6068
2001,97240,76530,41511,19688,12562,962,251,1556,20710,4592,4669,6578,4871
2002,86187,67935,36821,18698,10028,988,214,1186,18252,4408,4118,5754,3972
2003,71032,55333,29276,16476,8272,1023,193,93,15699,4047,4029,4354,3269
2004,68813,53418,27795,16637,7691,1013,227,55,15395,4072,4150,3882,3291
2005,63053,48722,24382,16224,7013,847,212,44,14331,4125,4353,3274,2579
2006,57867,45057,20477,17889,5793,687,188,23,12810,3911,4323,2510,2066
2007,53978,41175,18164,17264,5037,529,164,17,12803,3933,4623,2292,1955
2008,51961,39077,17102,16840,4539,421,151,24,12884,4300,4970,2121,1493
2009,51868,39279,17019,17794,3910,375,157,24,12589,4148,4996,1926,1519
2010,49969,38350,16185,18458,3188,322,182,15,11619,3871,4766,1669,1313
2011,46833,35852,14579,18023,2813,290,136,11,10981,3815,4825,1390,951
2012,46964,35127,13460,18472,2826,253,113,3,11837,4327,5175,1457,878
2013,49044,,14381,18885,2839,212,129,,,4945,5454,1164,1035
2014,63341,,18519,26166,3067,289,248,,,6015,5853,1583,1601
2015,74169,,21475,31445,3636,344,312,,,7046,5871,1907,2133
2016,65039,,18222,26832,3589,363,260,,,6496,5621,1718,1938
2017,44037,,13435,18013,2670,211,215,,,3943,3579,998,973
