year_,gross national income(GNI hundred million yuan),gross domestic product(GDP hundred million yuan),value-added of first industry(VA1 hundred million yuan),value-added of secondary industry(VA2 hundred million yuan),value-added of tertiary industry(VA3 hundred million yuan),GDP per capita(yuan)
1952,679.1,679.1,342.9,141.1,195.1,119
1953,824.4,824.4,378.0,191.6,254.8,142
1954,859.8,859.8,392.0,210.8,257.0,144
1955,911.6,911.6,421.0,221.5,269.1,150
1956,1030.7,1030.7,443.9,280.4,306.5,166
1957,1071.4,1071.4,430.0,316.6,324.8,168
1958,1312.3,1312.3,445.9,483.6,382.8,201
1959,1447.5,1447.5,383.8,616.7,447.0,217
1960,1470.1,1470.1,340.7,652.6,476.8,220
1961,1232.3,1232.3,441.1,393.5,397.7,187
1962,1162.2,1162.2,453.1,363.9,345.1,175
1963,1248.3,1248.3,497.5,412.8,337.9,183
1964,1469.9,1469.9,559.0,519.3,391.6,210
1965,1734.0,1734.0,651.1,608.5,474.4,242
1966,1888.7,1888.7,702.2,715.4,471.1,257
1967,1794.2,1794.2,714.2,608.0,472.0,238
1968,1744.1,1744.1,726.3,542.6,475.3,225
1969,1962.2,1962.2,736.2,695.0,531.0,247
1970,2279.7,2279.7,793.3,918.1,568.3,279
1971,2456.9,2456.9,826.3,1029.9,600.6,292
1972,2552.4,2552.4,827.4,1091.6,633.3,296
1973,2756.2,2756.2,907.5,1180.3,668.4,313
1974,2827.7,2827.7,945.2,1199.8,682.7,314
1975,3039.5,3039.5,971.2,1378.7,689.6,332
1976,2988.6,2988.6,967.1,1346.0,675.6,321
1977,3250.0,3250.0,942.2,1517.8,790.1,344
1978,3678.7,3678.7,1018.5,1755.1,905.1,385
1979,4100.5,4100.5,1259.0,1925.3,916.1,423
1980,4586.1,4587.6,1359.5,2204.7,1023.4,468
1981,4933.7,4935.8,1545.7,2269.0,1121.1,497
1982,5380.5,5373.4,1761.7,2397.6,1214.0,533
1983,6043.8,6020.9,1960.9,2663.0,1397.1,588
1984,7314.2,7278.5,2295.6,3124.7,1858.2,702
1985,9123.6,9098.9,2541.7,3886.4,2670.8,866
1986,10375.4,10376.2,2764.1,4515.1,3097.0,973
1987,12166.6,12174.6,3204.5,5273.8,3696.3,1123
1988,15174.4,15180.4,3831.2,6607.2,4742.0,1378
1989,17188.4,17179.7,4228.2,7300.7,5650.8,1536
1990,18923.3,18872.9,5017.2,7744.1,6111.6,1663
1991,22050.3,22005.6,5288.8,9129.6,7587.2,1912
1992,27208.2,27194.5,5800.3,11725.0,9669.2,2334
1993,35599.2,35673.2,6887.6,16472.7,12313.0,3027
1994,48548.2,48637.5,9471.8,22452.5,16713.1,4081
1995,60356.6,61339.9,12020.5,28676.7,20642.7,5091
1996,70779.6,71813.6,13878.3,33827.3,24108.0,5898
1997,78802.9,79715.0,14265.2,37545.0,27904.8,6481
1998,83817.6,85195.5,14618.7,39017.5,31559.3,6860
1999,89366.5,90564.4,14549.0,41079.9,34935.5,7229
2000,99066.1,100280.1,14717.4,45663.7,39899.1,7942
2001,109276.2,110863.1,15502.5,49659.4,45701.2,8717
2002,120480.4,121717.4,16190.2,54104.1,51423.1,9506
2003,136576.3,137422.0,16970.2,62695.8,57756.0,10666
2004,161415.4,161840.2,20904.3,74285.0,66650.9,12487
2005,185998.9,187318.9,21806.7,88082.2,77430.0,14368
2006,219028.5,219438.5,23317.0,104359.2,91762.2,16738
2007,270704.0,270092.3,27674.1,126630.5,115787.7,20494
2008,321229.5,319244.6,32464.1,149952.9,136827.5,24100
2009,347934.9,348517.7,33583.8,160168.8,154765.1,26180
2010,410354.1,412119.3,38430.8,191626.5,182061.9,30808
2011,483392.8,487940.2,44781.5,227035.1,216123.6,36277
2012,537329.0,538580.0,49084.6,244639.1,244856.2,39771
2013,588141.2,592963.2,53028.1,261951.6,277983.5,43497
2014,644380.2,643563.1,55626.3,277282.8,310654.0,46912
2015,685571.2,688858.2,57774.6,281338.9,349744.7,49922
2016,742694.1,746395.1,60139.2,295427.8,390828.1,53783
2017,830945.7,832035.9,62099.5,331580.5,438355.9,59592
2018,915243.5,919281.1,64745.2,364835.2,489700.8,65534
2019,983751.2,986515.2,70473.6,380670.6,535371.0,70078
2020,1005451.3,1013567.0,78030.9,383562.4,551973.7,71828
2021,1133239.8,1143669.7,83085.5,450904.5,609679.7,80976
